English,Kokborok
swell,phung
sun,sal
moon,tal
star,archu
water,twi
rain,twima
river,chara
lake,jola
sea,khagra
salt,mwkha
stone,athuk
sand,balu
dust,dumur
earth,ha
cloud,nokhor
fog,kumung
sky,khugung
wind,bar
snow,tokhom
ice,twikok
smoke,khumchu
fire,hor
ash,chobra
burn,chum
road,lambai
mountain,burung
red,mwchang
green,hangkha
yellow,komol
white,kobok
black,kosom
night,hor
day,sal
year,bochhor
warm,ualung
cold,nwngkhak
full,bwkhang
new,tongo
old,phura
good,hamya
bad,hamya
rotten,buruk
dirty,mainok
straight,kwching
round,kolum
sharp,kana
dull,tomol
smooth,noksok
wet,chupwi
dry,rokhok
correct,thik
near,kaching
far,kachakri
right,yakma
left,yatwi
at,o
in,no
with,nai
and,aro
if,yangdi
because,bobo
name,mung
house,nok
village,nagar
city,sohor
field,khet
school,iskul
teacher,master
student,patini
book,khata
pen,kolom
paper,kagoj
rice,mairang
food,chak
vegetable,takhuk
fruit,thai
meat,bitharw
milk,dudh
water,twi
tea,cha
coffee,kopi
breakfast,phungna chak
lunch,mwngna chak
dinner,haihukna chak
morning,phungna
afternoon,mwngna
evening,haikukna
night,hor
today,tini
tomorrow,misini
yesterday,miya
week,hapta
month,jolai
year,bochhor
time,somoi
hour,ghonta
minute,minit
second,sekend
watch,ghori
clothes,rishik
shirt,shirt
pants,pent
shoes,juta
hat,tupi
bag,thok
money,taka
market,hator
shop,dokan
buy,bai
sell,pathwi
price,dam
expensive,damya
cheap,damkumuya
doctor,doktor
medicine,osudh
hospital,hastpatal
sick,rogoi
healthy,furtiya
pain,bijak
headache,khakma bijak
fever,jor
cold,thanda
car,gari
bus,bas
train,rel
airplane,urugari
bicycle,sakel
road,lambai
bridge,dola
river,chara
lake,jola
mountain,burung
forest,bontor
tree,bolongma
flower,bukung
grass,ghash
sky,rwnai
sun,sal
moon,tal
star,arthai
cloud,monthai
rain,twima
snow,bwrwf
wind,bar
fire,hor
water,twi
earth,ha
stone,athuk
metal,loha
gold,son
silver,rupo
iron,lohomoshla
glass,shisha
plastic,plastic
wood,bolongthai
paper,kagoj
cotton,kapas
wool,lomcham
body,mokol
head,khakma
face,mokhang
eye,moksok
ear,khakchek
nose,khusung
mouth,khuk
tooth,ha
tongue,mukchep
hair,sim
hand,yakma
arm,yagra
leg,yapa
foot,yakung
heart,rwchak
blood,thwi
bone,sajong
muscle,mwichak
skin,kokma
baby,khudu
child,khudu
boy,khorang
girl,burui
man,korang
woman,burui
family,nwksa
father,afa
mother,ama
brother,bikhu
sister,binwng
son,korang
daughter,burui
husband,laima
wife,bwsai
friend,wati
neighbor,kashingno thaknai
job,kam
work,kam
office,opis
boss,malwk
employee,kamini
meeting,sabha
telephone,fon
email,email
internet,internet
computer,komputer
website,website
music,rwmwi
song,mandia
dance,naigwlwng
art,kala
movie,cinema
television,tivi
radio,redio
newspaper,khobor kagoj
book,boi
magazine,patrika
sport,khel
football,fut bol
cricket,kriket
tennis,tenis
swimming,hai
running,dengma
walking,thangma
story,kothoma
history,itihas
war,judho
peace,santi
religion,dharam
god,moharai
temple,mondir
church,girja
mosque,mosjid
prayer,projona
birth,jonom
death,thwima
marriage,kaimani
divorce,alada
happiness,kushi
sadness,duk
anger,raga
love,swnam
hate,nachai
fear,bhoi
courage,sahosh
mind,budhimung
thought,chinta
idea,chintani
opinion,mot
truth,sottiya
lie,micha
good,hamya
bad,hammaya
right,thik
wrong,bhul
beautiful,mwjang
ugly,bising
clean,furtiya
dirty,moilo
new,tongo
old,purono
young,khudu
old,bwrwi
hot,jwlwng
cold,nangkhak
easy,swbjw
difficult,kosto
fast,rwngkha
slow,aloiro
hard,shakto
soft,norom
start,arom
end,ses
top,wasa
bottom,hasa
side,kachum
front,sak
back,yakha
up,sa
down,ha
north,uttor
south,dokkhin
east,purbo
west,poschim
right,yakma
left,yatui
center,majhar
inside,bitor
outside,baire
between,majhe
across,argo
through,madhya
around,chare
against,birodhe
without,chara
for,jonno
from,theke
to,ke
with,sange
about,bishoye
during,somoy
before,age
after,pore
while,jokhon
because,karon
if,jodi
or,othoba
and,ar
but,kintu
also,o
only,sudhu
very,khub
too,onek
more,beshi
less,kom
enough,jotheshto
not,na
all,sob
some,kichu
many,onek
few,olpo
other,onno
same,ekoi
different,bhinna
each,prottek
every,sotto
any,jekono
no,na
yes,hoi
please,doya
thank you,dhonnobad
sorry,dukkho
excuse me,khoma
hello,namaskar
goodbye,bidai
good morning,subho sokal
good afternoon,subho dupur
good evening,subho sondha
good night,subho ratri
welcome,shagotom
how are you,kemon acho
fine,bhalo
language,bhasha
word,shobdo
sentence,bakko
letter,chithi
number,songkha
one,sa
two,nwi
three,tham
four,brwi
five,ba
six,dok
seven,chini
eight,char
nine,chuku
ten,chi
hundred,soso
thousand,hajar
million,million
zero,sunya
first,prothom
second,dwitiya
third,tritiya
last,shesh
next,porer
program,program
system,system
file,file
data,data
information,tothya
technology,projukti
science,biggan
mathematics,gonit
physics,podartho biggan
chemistry,rosayan
biology,jibobiggan
history,itihas
geography,bhugol
literature,sahitya
economy,orthoniti
politics,rajniti
society,somaj
culture,songskriti
government,shorkar
president,rashtropoti
prime minister,prodhonmontri
king,raja
queen,rani
country,desh
nation,jati
state,rajjo
city,shohor
town,nogor
village,gram
street,rasta
address,thikana
building,bhaban
room,ghor
wall,deyal
door,dorja
window,janala
floor,meji
ceiling,chhad
roof,chhad
stairs,sidhi
furniture,ashabpotro
chair,chair
table,table
bed,khat
bathroom,bathrum
kitchen,ranna ghor
garden,bagan
farm,khamar
factory,karkhana
office,office
school,school
university,bishwobidyaloy
hospital,haspatal
bank,bank
restaurant,restaurant
hotel,hotel
airport,biman bondar
station,station
port,bondar
beach,shore
mountain,pahar
hill,tila
valley,upotoka
desert,morubhumi
island,dwip
ocean,mahasagor
sea,samudra
river,nodi
lake,hrad
forest,bon
jungle,jongol
garden,bagan
park,park
zoo,chiryakhan
farm,khamar
field,maat
plant,gachh
tree,gachh
flower,phul
grass,ghas
animal,pranee
bird,pakhi
fish,machh
insect,pooka
butterfly,projapoti
elephant,hati
tiger,bagh
lion,shingho
bear,bhalluk
wolf,neikurya
fox,shiyal
dog,kuthma
cat,mewko
horse,ghora
cow,goru
goat,chagol
sheep,bhera
pig,shukar
rabbit,khargosh
mouse,indur
frog,bang
snake,sap
crocodile,kumir
fish,maach
whale,til mach
dolphin,shushuk
shark,hangor
octopus,ashto-pa
crab,kakra
shrimp,chingri
bee,moumachi
ant,pipra
spider,makorsa
mosquito,masha
fly,machi
butterfly,projapoti
bird,pakhi
chicken,murgi
duck,hash
eagle,eagle
owl,pyancha
parrot,tota
penguin,penguin
peacock,moyur
crow,kak
sparrow,chorui
pigeon,kobutor
apple,apple
banana,kola
orange,komla
grape,angur
mango,aam
pineapple,anaros
strawberry,strawberry
coconut,narikel
watermelon,tormuj
lemon,lebu
potato,alu
tomato,tomato
onion,peyaj
garlic,roshun
ginger,ada
carrot,gajor
cabbage,bandha kobi
rice,chal
wheat,gom
corn,bhutta
bread,ruti
cake,kek
ice cream,ais krim
chocolate,choklet
sugar,chini
salt,lobon
pepper,morich
oil,tel
butter,makhan
cheese,poneer
egg,dim
milk,dudh
juice,rosh
coffee,kopi
tea,cha
water,pani
wine,modh
beer,biar
breakfast,nashta
lunch,dupur er khabar
dinner,rater khabar
soup,sup
salad,salad
restaurant,restaurant
chef,rannar lok
waiter,perosa
menu,menu
bill,bil
cup,kap
glass,glass
plate,plet
fork,kata chamoch
knife,churi
spoon,chamoch
bowl,bati
table,tebl
chair,chair
king,raja
queen,rani
president,rashtropoti
prime minister,pradhana montri
minister,montri
governor,governor
mayor,mayor
officer,adikari
soldier,sonik
police,police
judge,bicharok
lawyer,ukil
doctor,daktar
nurse,nurse
teacher,sikhok
student,chatrw
engineer,projukti bidh
scientist,biggani
artist,shilpi
musician,shongitkar
actor,obineta
actress,obhinetri
writer,lekhok
director,porichalok
producer,nijata
manager,bebostaapok
clerk,kerani
secretary,sochib
accountant,hishab rokhkhok
salesman,bikreta
customer,krwta
driver,chalok
pilot,biman chalok
captain,adhnaok
sailor,nabik
farmer,krishok
gardener,mali
barber,napit
tailor,darji
baker,rutiola
butcher,kasai
blacksmith,kamar
carpenter,mistri
plumber,jol mistri
electrician,bidyut mistri
mechanic,mistri
businessman,babsai
job,chakri
work,kaj
office,office
factory,karkhana
farm,khamar
market,bajar
shop,dokan
store,dokan
bank,bank
post office,dak ghar
hospital,haspatal
clinic,chikitsa kendro
pharmacy,oushudher dokan
school,bidyaloy
college,mohabidyaloy
university,bishbobidyaloy
library,granthagar
museum,jadughar
theater,theater
cinema,cinema
concert,concert
stadium,stadium
park,park
zoo,chiryakhaana
restaurant,restaurant
cafe,cafe
hotel,hotel
house,bari
apartment,apartment
room,ghor
kitchen,ranna ghor
bathroom,bathrum
bedroom,soyanghor
living room,boithok ghor
garden,bagan
garage,gaari ghor
door,doroja
window,janala
wall,dewal
floor,mejhe
ceiling,chhat
roof,chhat
stairs,sidhi
elevator,elevator
key,chabi
lock,tala
light,alo
lamp,bati
television,television
radio,radio
telephone,telephone
mobile,mobile
computer,computer
internet,internet
book,boi
newspaper,songbad potro
magazine,potrika
letter,chithi
pen,kolom
pencil,pensil
paper,kagoj
notebook,khata
calendar,panjika
clock,ghori
watch,haat ghori
wallet,wallet
purse,purse
bag,bag
suitcase,suitcase
umbrella,chhata
hat,tupi
cap,tupi
glasses,choshma
sunglasses,rod choshma
clothes,kapar
shirt,shirt
t-shirt,t-shirt
dress,poshak
skirt,skirt
pants,pants
jeans,jeans
shorts,shorts
jacket,jacket
coat,coat
sweater,sweater
suit,suit
tie,tai
scarf,scarf
gloves,gloves
sock,sock
shoe,juta
boot,boot
sandal,sandal
slipper,chapal
belt,belt
jewelry,goyna
ring,angti
necklace,haar
earring,kaner dul
bracelet,churi
watch,ghori
perfume,atar
soap,saban
shampoo,shampoo
toothbrush,dater brush
toothpaste,dater pest
towel,gamcha
razor,rejaar
mirror,ayna
comb,chiru
brush,brush
makeup,saaj
lipstick,lipstick
cream,cream
lotion,lotion
tissue,tissue
toilet paper,toilet paper
medicine,oshudh
pill,bori
injection,injection
bandage,bandage
thermometer,thermometer
wheelchair,wheelchair
health,swasthya
disease,rog
fever,jwor
cold,thanda
cough,kashi
headache,matha bedona
stomachache,pet bedona
pain,bedona
injury,aghaat
wound,khoto
accident,durghathona
emergency,joruri obostha
appointment,appointment
treatment,chikitsa
surgery,surgery
dentist,dater daktar
optician,chokher daktar
pharmacy,oushudhaloyo
prescription,prescription
insurance,bima
exercise,byayam
yoga,yoga
meditation,dhyan
diet,diet
nutrition,pusti
vitamin,vitamin
mineral,khanij
protein,protein
carbohydrate,carbohydrate
fat,chorbhi
calorie,calorie
vegetarian,niramish
vegan,vegan
weight,ojon
height,uchota
size,akaar
length,dorghyo
width,prostho
depth,gabhirata
temperature,tapomatra
pressure,chap
speed,goti
distance,duratto
direction,dik
location,sthaan
position,obosthan
map,manochitro
compass,compass
guide,guide
instruction,nirdesh
manual,manual
rule,niyom
law,ain
policy,niti
regulation,probidhaan
tax,kor
bill,bil
receipt,raoshid
account,hisab
budget,bajeet
loan,rin
mortgage,bondhoki
interest,shud
credit,credit
debit,debit
cash,nogod
check,check
card,card
currency,mudra
dollar,dollar
rupee,taka
coin,mudra
note,note
wallet,wallet
bank,bank
ATM,ATM
investment,biniyog
stock,stock
share,sheaar
market,bajar
trade,banijyo
business,babsha
company,kompani
corporation,corporation
firm,firm
industry,shilpo
product,ponno
service,sheba
customer,krwta
client,graahok
supplier,joggandatta
distributor,bitrwankari
retailer,khuchara bikrwta
wholesaler,paikari bikrwta
dealer,dealer
agent,agent
sale,bikri
purchase,kroy
order,aadesh
shipment,shipment
delivery,bitorwn
package,parshal
gift,upohar
advertisement,biggapon
promotion,promotion
discount,discount
price,dam
cost,mullo
value,mullo
quality,gunnawatto
quantity,porimaan
size,aakar
color,rwng
style,style
design,design
brand,brand
logo,logo
label,label
tag,tag
box,box
container,paatro
bottle,botol
can,tin
jar,jar
packet,packet
bag,bag
basket,jhuri
material,upaadaan
metal,dhaatu
wood,kaath
plastic,plastic
glass,kaach
paper,kagoj
cloth,kaapor
leather,chamra
rubber,rubber
cement,cement
concrete,concrete
brick,it
stone,paathor
sand,baali
soil,mati
clay,kaadaamati
dust,dhulo
dirt,moyla
mud,kaadaa
rock,paathor
diamond,heerar
gold,shona
silver,rupo
copper,tama
iron,loha
steel,ispaat
lead,shisha
tool,hotyaar
hammer,haturi
nail,prek
screw,skru
bolt,bolt
nut,nut
washer,washer
drill,drill
saw,korat
pliers,pliers
wrench,wrench
screwdriver,screwdriver
scissors,kaichi
English,Kokborok
air,bar
alive,thangna
allow,hoknai
almost,chaknai
alone,ekele
already,irokmano
also,aro
always,hambwrwi
ancient,purano
angle,kon
angry,ragama
ankle,goubu
announce,khokrona
annoy,hamyani
answer,jabap
anxiety,chinta
anxious,chhinta kha
any,jekhono
apart,alada
apologize,khoma
apparatus,jontra
appear,dekhama
apple tree,apple bolong
appointment,somoi
approach,kachingano
approve,hoimo
architect,vaskaar
area,jaga
argue,golmal
arise,utha
arithmetic,lekha
arm,yagra
army,fouj
arrange,sajano
arrest,dhor
arrive,phaina
arrogant,ohongkari
arrow,tir
art,shilpa
artist,shilpi
ashamed,lojja
aside,argo
ask,sog
asleep,thwima
assault,aakromon
assemble,joro
assign,niyog
assist,sahajjo
assume,dhorona
astonish,chhokit
attach,jorono
attack,aakromon
attempt,chesta
attend,upasthit
attention,monojog
attic,char
attorney,ukil
attract,akorsit
attractive,shundor
audience,dorsok
aunt,masi
author,lekhok
authority,kortritto
autumn,shorot
available,proyojonio
avenue,rastai
average,gor
avoid,erono
awake,jagono
award,puroskar
aware,socheton
awful,byatha
axe,kuraal
baby bottle,shishur botol
back door,pichon dar
background,potobhumi
backpack,pithbag
backwards,ulta
bacteria,jibaanu
badge,podok
badly,kharap
baggage,luggage
bake,senk
balance,bharshammo
balcony,balcony
ballet,nrittonatya
balloon,balun
ballot,bhot
bamboo,bajaar
banana tree,kola gachh
band,bondho
bandage,potti
banish,nirbason
banking,banking
banner,potaka
banquet,bhojon
bar code,bar code
barber shop,napiter dokan
bare,khali
bargain,daraadaari
bark,gheu gheu
barn,goyal
barrel,pipa
barren,bondhya
barrier,badha
baseball,baseball
basement,tola
basket,jhuri
basketball,basketball
bat,badur
bath,snan
battery,batari
battle,juddho
bay,upasagor
beach,shoikot
bead,puti
beam,beam
bean,sim
beard,daari
beast,poshu
beat,mara
beautiful,shundor
beauty,shundorjo
become,hoye otha
bed sheet,bedsheet
bedroom,shoyonkakkho
bee hive,moumachir chhak
beef,gorur mangsho
beer mug,biarer mog
beet,beet
beetle,poka
beg,bhikha
beggar,bhikari
begin,shuru
behave,acharon
behavior,acharon
behind,pechone
believe,bishwas
bell,ghonta
belly button,nabhimul
belong,odhikar
below,niche
belt buckle,belter bakol
bench,bench
bend,baanka
beneath,niche
benefit,labh
bent,baanka
berry,berry
beside,pashe
best,shorbottom
bet,bahji
better,valo
between,modhye
beyond,otiriktyo
bicycle pump,cycle pump
big toe,boroto angul
bill,bil
billion,shoto koti
bin,aaborjona patro
binoculars,durbin
biography,jiboni
biology teacher,jibbiggan shikkhok
birth control,jonmoniyontron
birth certificate,jonmo shonod
birthday cake,jonmodin cake
birthmark,jonmochinho
biscuit,biscuit
bishop,bishop
bite,khamor
bitter,titto
black eye,kalo chokh
blackboard,blackboard
bladder,mutrasay
blade,blade
blame,dosh
blanket,kombol
bleed,roktopat
bless,ashirbad
blind,ondho
blindfold,chokh bandha
blister,foskaa
blizzard,tufaan
block,aatke rakha
blood test,roktho porikha
blouse,blouse
blow,fuu dewa
blueprint,blueprint
blush,lojja
board game,board game
boast,ahankar
boat,nouka
boathouse,nouka ghor
body odor,gaa gondho
boil,fotan
bolt,bolt
bomb,boma
bone marrow,mojja
bonfire,agnikunda
book cover,boi er molapotro
bookcase,boier almari
bookmark,bookmark
boom,boom
boost,uthano
booth,ghera
booze,modh
border,shimana
bore,birokto
borrow,dhar kora
boss,kartaa
botany,udbhid-biggan
bother,birokto
bottle opener,botol khola jontra
bottom,tola
boundary,shimana
bouquet,torar gathaa
bow,dhanuk
bowl,bati
box office,tikitghor
boxing,boxing
bracelet,churi
brain,moshtishko
brake,brake
branch,shaakhaa
brand new,ekdom notun
brass,pittol
brave,shahoshi
bread basket,ruti rakhar jhuri
break dance,break dance
breakdown,veshe jawa
breakfast cereal,nashtar shosha
breakthrough,breakthrough
breath,shwash
breathe,shwashgrohon
breeze,haawa
brewery,modh toirir karkhana
brick house,iit er baari
bride,kone
bridge,shetu
bridle,bridle
bright,ujjwol
brilliant,ujjwol
bring,niye asha
brink,kinaraa
brochure,brochure
broken,bhangaa
broker,dalaal
bronze,bronze
broom,jharu
broth,jhol
brother-in-law,bhai shamadhi
brown bread,brown bread
bruise,kaala dag
brush,brush
bubble,bulbule
bucket,balti
buckle,jhampa
bud,kuari
buffet,buffet
bug,poka
build,banano
building,bhaban
bulb,balb
bulk,parimaan
bullet,bullet
bulletin board,noticeboard
bumblebee,bho-bho
bumpy,unchu-nichu
bun,pauruti
bunch,guchha
bundle,aati
bungalow,banglo
bunny,khargosh
burden,bojhaa
bureau,aaina-almira
burglar,chhor
burn,pora
burner,chulha
burnt,pora
burp,dhekur
bury,kabar dewa
bus station,bus steshon
bus stop,bus stop
bush,jhop
businessman,babsayi
busy,besto
butcher shop,mangsho bikroy kendro
butler,battler
butterfly net,projapoti dhorar jaal
button,botaam
buy,kena
buzz,bhinbhin
buzzer,alarm
cabbage leaf,bandhakobi paata
cabin,kuair
cabinet,kabinet
cable,kable
cactus,kaktus
cafe,cafe
cafeteria,canteen
cage,pinjor
cake pan,cake pan
calculator,calculator
calendar date,calendar date
calf,bachur
call,daaka
calm,shanto
calorie counter,kalori gonok
camel,ut
camera lens,camera lens
camouflage,camouflage
campaign,avijan
campfire,campfire
camping,camping
campsite,shipping
can opener,kan opener
canal,khaal
canary,kanari
cancel,baatil
cancer,karkot rog
candle holder,mombati dhore rakhar jinish
candy store,mishti dokan
cane,lathi
canister,patro
cannibal,norokhok
cannon,kaman
canoe,khudro nouka
canopy,canopy
canvas,canvas
canyon,giri songkot
capable,shokkhom
capital,rajdhani
capsize,ulte jawa
capsule,capsule
captain,kaptaan
capture,dhorano
caravan,bahoner shreni
carbon,carbon
card game,tash khela
cardboard,cardboard
cardinal,cardinal pakhi
care,dekhashona
careful,shotorko
careless,oshotorko
cargo,maal
carnival,melaa
carpenter's hammer,sutar haturi
carpet,carpet
carriage,ghora-gari
carrier,carrier
carrot cake,gajor cake
carry,boye newa
carton,carton
cartoon,cartoon
carve,khodai
cascade,jharnadhara
case,mamla
cash register,cash register
cashew,kaaju
casino,casino
cassette,khyashet
cast,chhaka
castle,durgo
casual,casual
cat food,biraler khabar
catalog,thalika
catch,dhora
catering,khataring
cathedral,boro girja
cattle,goru
cause,karon
caution,shotorkota
cave,guha
caviar,kaviyar
ceiling fan,chhat pankha
celebrate,utshob korano
celery,celery
cell,cell
cellar,bhoghor
cello,cello
cemetery,shoshanghat
cereal,shosha
ceremony,onushthan
certainly,obosshoi
certificate,promanpotro
chain,shrinkhol
chair leg,chair leg
chairman,shobhapoti
chalk,khori
challenge,challenge
chamber,chamber
champion,champion
chance,shujog
change,poriborton
channel,channel
chaos,golmaal
chapel,chapel
chapter,oddhay
character,chorittro
charcoal,koyela
charge,charge
charity,daan
charm,akorshon
chart,chart
chase,dhawa
chat,golpo
chatter,bakhbakani
cheap,shosta
cheat,protarona
check out,check out
checkmate,checkmate
cheek,gaal
cheerful,anondito
cheese grater,ponir kora jontra
chef hat,rashuiyar tupi
chemical,rasayon
chemistry lab,rasayan laboratory
cherish,sheba
cherry,cherry
chess,daba
chest,buk
chestnut,chestnut
chew,chibano
chicken coop,murgi ghor
chicken pox,jolobasonto
chief,mukhya
child care,shishu jotno
childhood,shoisob
childish,shishushulabh
chill,thanda
chimney,chimney
chin,thutni
chip,chip
chocolate bar,chocolate bar
chocolate cake,chocolate cake
choice,pochondo
choir,gaayak dol
choke,gola bondho
choose,pochondo kora
chop,kaata
chopsticks,chopsticks
chord,shur
chorus,chorus
church bell,girjar ghonta
cider,cider
cigarette,cigarette
cinema hall,cinema hall
circle,britto
circuit,circuit
circus,sharkas
citizen,nagorik
city center,shohar kendro
city map,shohor map
claim,dabi
clam,jhinu
clap,haattali
clarify,byakkhya
clasp,clasp
class,class
classic,classic
classify,shrenibhag
classroom,classroom
claw,noko
clay pot,matir patil
clean,porishkar
cleaner,porishkarak
clear,porishkar
clerk,kerani
clever,buddiman
click,click
client,grahok
cliff,parbottay kinar
climate,jolobayu
climb,charha
clinic,chikitsalay
clip,clip
clipboard,clipboard
cloak,orhona
clock tower,ghari tower
clockwise,ghorir katha onujaye
clone,klon
close,bondho
closet,closet
cloth,kaapor
cloud cover,megh
clown,bhaar
club,club
clue,ishot
clumsy,onipun
cluster,guchchho
clutch,karamute dhora
coach,coach
coal,koila
coast,upokul
coat hook,coat hook
cobweb,makorsha jaal
cockroach,telpoka
cocktail,cocktail
cocoa,cocoa
coconut shell,narkeler khol
code,code
coffee maker,coffe toiri jontra
coffee shop,coffee shop
coffin,shobadhar
coin purse,mudrar tholi
coincidence,akkaghmik
cold sore,thot ghaa
collage,kollaj
collar,collar
colleague,sohkormi
collect,shongroho
collection,shongraha
college student,college student
collision,dhakka
colonel,kernel
colony,upanibesh
color blind,borna ondho
colorful,rongin
column,stambha
comb,chiru
combine,milon
come back,fire asha
comedy,koutorasray
comet,dhumketu
comfort,araam
comfortable,araamjanak
comic,rohosshopurno
command,aadesh
comment,comment
commit,korte raaji
committee,committee
common,shadharon
communicate,jogajog
community,shomaj
compact,compact
companion,shongee
company,kompani
compare,tulano
compass,kompash
compete,competition
competition,competition
complaint,abhijog
complete,shompurno
complex,jotil
complicate,jotil kora
compliment,proshongsha
compose,rochona
composer,shurkar
compromise,apaash
compulsory,batamulak
compute,gaanaa
comrade,shaathi
conceal,lukano
concentrate,monojog dewa
concern,udbeg
concert hall,shongeetshaala
conclude,shesh kora
concrete mixer,concrete mixer
condemn,ninda
condition,obostha
conduct,cholano
conductor,porichalok
cone,shonku
confess,shwikar
confidence,atmabishwash
confident,atmabishwashi
confuse,bibranto kora
confusion,bibhranti
congratulate,ovhinondon
connection,jogajag
conquer,joy kora
conscience,bibek
conscious,shacheton
consider,bichaar kora
consist,gothito
console,shaannaa
constant,nityo
construct,nirman
consult,poraamarsha
consume,bhogkora
contact,jogajog
contain,dharon kora
content,shontushti
contest,protijogita
continent,mohadesho
continue,chalie jaoa
contour,rupur rekha
contract,chukti
contradict,birodh kora
contrary,biporit
contribute,obodaan
control,niyontron
convenience,shubidha
convenient,shubdhajanak
convention,convention
conversation,kathopokathan
convert,poriborton kora
convince,bishwash karno
cook,raanna kora
cooker,rannar patro
cookie jar,biscuit jar
cool,thanda
cooperation,shojogita
copper coin,tamer mudra
copy,anukaran
coral,coral
cord,cord
core,kendro
cork,cork
corkscrew,corkscrew
corn soup,vutthar shup
corner,kon
cornfield,vuttar khet
corporation,korpareshon
corridor,corridore
corrupt,durniti
cost,khoroch
costume,costume
cosy,araamjanak
cottage,cottage
cotton candy,cotton candy
couch,couch
cough syrup,kashir oshudh
council,kormishova
counselor,upadestha
count,gonona
counter,kauntar
country house,gramino bari
countryside,shomatolbhumi
county,county
couple,dampatti
courage,shahosh
course,course
court,adalot
courtyard,uthan
cousin,kajan
cover,cover
cow shed,goshala
cowboy,cowboy
cozy,cozy
crab claw,kakrar thaba
crack,crack
cracker,cracker
cradle,dolna
craft,hastoshilpo
craftsman,karigor
crane,crane
crash,dhakka
crawl,haamaguari
crayon,rong er kaathhi
crazy,pagol
cream cheese,cream cheese
create,shrishti
creature,jibojantu
creditor,rinadaata
creek,creek
creep,cholachal
crew,crew
cricket bat,cricket bat
criminal,oporadhi
crisp,crisp
critic,critic
criticism,shomalocona
criticize,shomalochona kora
crocodile skin,kumirer chamra
crop,fashaal
cross,par
crossroad,chauroasta
crow's nest,joros
crowd,bhir
crown,mukut
cruel,nirday
cruise,jolochoron
crumb,tukro
crumple,muchrano
crush,pisano
crust,bahirer onsho
cry,kaanna
crystal,kristal
crystal ball,kristal baal
cub,baachha
cube,ghanok
cucumber,shosaa
cuff,cuff
cuisine,cuisine
culprit,aparadhi
cultivate,chaash
culture,shongskriti
cunning,chatur
cup final,cup final
cupboard,aalmaari
cure,niramoy
curious,koutuholi
curl,curl
currency,mudra
current,current
curriculum,shikshakrom
curry,torkari
curse,ovishap
curtain rail,porda rail
curve,banka
cushion,baalish
custard,custard
custom,ritiniti
customer,khoridar
customs,customs
cut,kata
cutlery,cutlery
cycle,cycle
cyclist,shaikel chalok
cylinder,cylinder
cymbal,kaansor
dairy,dugdhashaala
dam,baandh
damage,khoti
damp,shapsha
dance floor,dance floor
danger,bipod
dangerous,bipodjanok
dangle,jhulte thaka
dare,shahosh kora
dark,ondhokar
darkness,ondhokar
darling,priyo
darn,saalaai dewa
dart,shaartip
dashboard,dashboard
data,tathyo
date,tarikh
daughter-in-law,putrabadhu
dawn,vorvela
day care,shishu porichorja kendro
daydream,dinerdaydream
dead,mrito
deadline,shomoshima
deadly,maratak
deaf,badhir
deal,deal
dear,priyo
debate,bithorko
debris,aabarja
debt,rin
decade,doshok
decay,poche jawa
deceit,protaronaa
deceive,protarona kora
December,December
decide,shiddhanto newa
decision,shiddhanto
deck,deck
declaration,ghoshona
declare,ghoshona kora
decorate,shajano
decoration,shajshojja
decrease,komano
deed,kaaj
deep,gadhir
deer,horin
defeat,porajoy
defect,truti
defend,rakha kora
defense,atmorakha
